distance,integrated_intensity_Pa_mm
1265.0,48.12669585450737
1270.0,46.49981702159987
1275.0,44.7240741830448
1280.0,42.9744262322034
1285.0,41.55259971717791
1290.0,40.538241554417304
1295.0,39.62427406639253
1300.0,39.0032654009662
1305.0,38.798911055355106
1310.0,39.2658227110654
1315.0,41.119633448918606
1320.0,43.74488959265266
1325.0,46.679350767349966
1330.0,49.98989995397993
1335.0,53.779744517454894
1340.0,57.8781990951695
1345.0,61.79845292882841
1350.0,65.1712504492674
1355.0,67.7750638728666
1360.0,69.4914298758014
1365.0,70.31275284308985
1370.0,70.22102712816229
1375.0,69.24596599200765
1380.0,67.4669225248598
1385.0,65.02262549434379
1390.0,62.03721361826436
1395.0,58.980308693665606
1400.0,56.76627620049972
1405.0,55.245076872056
1410.0,54.20719799101849
1415.0,53.50233560126658
1420.0,53.08791997028135
1425.0,53.02699872440326
1430.0,53.238192631744035
1435.0,53.58642538993076
1440.0,54.24392055919684
1445.0,54.777585232765794
1450.0,55.17580689723379
1455.0,55.315857464920825
1460.0,54.83996546661816
1465.0,53.67527612151551
1470.0,51.82573715398081
1475.0,49.64819326048557
1480.0,47.703487661553055
1485.0,46.342087999488726
1490.0,45.69923988329715
1495.0,45.691235381151856
1500.0,46.29250086302641
1505.0,47.531043904320995
1510.0,49.394419267035374
1515.0,51.902678441779905
1520.0,54.967732557866086
1525.0,58.21958589667288
1530.0,61.20832081954524
1535.0,63.63204935777581
1540.0,65.31206189274478
1545.0,66.16253916742447
1550.0,66.18404316059818
1555.0,65.47032669275367
1560.0,64.19950585627085
1565.0,62.52498808429847
1570.0,60.493726910653294
1575.0,58.27700631598166
1580.0,56.435287611734346
1585.0,54.68013018664797
1590.0,52.88256421549704
1595.0,51.12445026926491
1600.0,49.54715396943786
1605.0,48.179778839161514
1610.0,46.90393988715997
1615.0,45.9881590818953
1620.0,46.490288022294926
1625.0,47.249621463704614
1630.0,47.54834707156773
1635.0,47.31091413592451
1640.0,46.6311579976778
1645.0,45.77314761433624
1650.0,45.13200907514366
1655.0,45.47322096741233
1660.0,46.53550434878183
1665.0,47.87466022936353
1670.0,49.42054289793569
1675.0,51.1149478020993
